weight_capacity,biodegradability_score,co2_emission,recyclability,strength,compostable,water_resistance,cost_efficiency_index,co2_impact_index
0.6,0.0,0.86,0.45,2,0,1,0.435,0.084
0.2,0.33,0.14,0.18,1,1,0,0.366,0.648
0.6,0.67,0.32,0.82,2,1,1,0.694,0.676
0.6,0.33,0.41,0.55,2,1,1,0.505,0.486
0.12,0.33,0.55,0.18,0,1,0,0.39,0.402
0.12,1.0,0.0,0.0,0,1,0,0.264,1.0
1.0,0.67,0.55,0.82,4,1,2,0.574,0.538
0.2,1.0,0.05,0.36,1,1,0,0.492,0.97
0.2,0.0,0.77,0.18,0,1,0,0.366,0.138
0.2,1.0,0.05,0.55,2,1,1,0.625,0.97
0.8,0.67,0.36,0.95,2,1,0,0.725,0.652
0.52,0.33,0.27,0.73,2,1,1,0.655,0.57
0.4,0.67,0.32,0.73,2,1,1,0.691,0.676
0.2,1.0,0.05,0.55,2,1,1,0.625,0.97
0.2,0.67,0.18,0.27,1,1,0,0.429,0.76
0.4,0.67,0.32,0.91,2,1,0,0.817,0.676
0.0,1.0,0.05,0.0,0,1,0,0.3,0.97
0.4,0.67,0.36,0.73,2,1,1,0.691,0.652
0.4,0.67,0.32,0.91,2,1,0,0.817,0.676
0.2,0.67,0.32,0.36,1,1,0,0.492,0.676
0.2,0.67,0.27,0.91,1,1,0,0.877,0.706
0.28,0.67,0.23,0.27,2,1,0,0.405,0.73
0.4,1.0,0.55,0.55,2,1,1,0.565,0.67
0.12,0.33,0.77,0.18,1,1,0,0.39,0.27
1.0,0.67,0.27,0.82,4,1,2,0.574,0.706
1.0,0.0,0.77,0.18,2,1,2,0.126,0.138
0.2,0.33,0.86,0.36,2,1,1,0.492,0.216
0.4,0.33,1.0,0.36,2,1,1,0.432,0.132
0.4,0.67,0.27,0.82,2,1,1,0.754,0.706
0.8,0.67,0.36,0.82,4,1,1,0.634,0.652
0.6,0.67,0.32,0.91,2,1,0,0.757,0.676
0.28,1.0,0.0,0.45,2,1,1,0.531,1.0
0.2,1.0,0.09,0.73,2,1,1,0.751,0.946
0.4,0.33,0.5,0.64,2,1,1,0.628,0.432
0.2,0.33,1.0,0.0,1,1,0,0.24,0.132
0.8,0.67,0.23,0.82,4,1,2,0.634,0.73
0.2,1.0,0.09,0.64,2,1,1,0.688,0.946
0.2,0.33,0.77,0.36,1,1,0,0.492,0.27
0.0,1.0,0.09,0.18,0,1,0,0.426,0.946
1.0,0.67,0.18,0.82,4,1,2,0.574,0.76
0.2,0.33,0.77,0.36,2,1,1,0.492,0.27
0.28,1.0,0.05,0.36,2,1,1,0.468,0.97
0.32,0.33,0.45,0.55,2,1,1,0.589,0.462
0.6,0.67,0.32,1.0,2,1,0,0.82,0.676
0.52,0.33,0.41,0.64,2,1,1,0.592,0.486
0.6,0.67,0.32,0.73,2,1,1,0.631,0.676
0.08,1.0,0.09,0.18,0,1,0,0.402,0.946
0.6,0.67,0.32,0.91,2,1,0,0.757,0.676
0.8,0.67,0.32,1.0,2,1,0,0.76,0.676
0.8,0.67,0.41,0.82,4,1,2,0.634,0.622
0.2,0.33,0.55,0.73,2,1,1,0.751,0.402
0.6,0.67,0.27,0.82,2,1,1,0.694,0.706
