id,weight_capacity,biodegradability_score,co2_emission,recyclability,strength,compostable,water_resistance,material_type_algae_bioplastic_film,material_type_algae_based_bottle,material_type_algae_based_foam,material_type_areca_palm_leaf_plates,material_type_bagasse_clamshell,material_type_bagasse_container,material_type_bagasse_fiber,material_type_bamboo_fiber_packaging,material_type_bamboo_paper_pouch,material_type_bamboo_tray,material_type_banana_leaf_packaging,material_type_biodegradable_polyhydroxyalkanoate,material_type_cassava_bioplastic,material_type_coconut_coir_board,material_type_coconut_fiber_bag,material_type_coconut_husk_fiber,material_type_coffee_husk_composite,material_type_cork_packaging,material_type_corn_husk_fiber_sheet,material_type_corn_husk_tray,material_type_corn_starch_clamshell,material_type_cornstarch_foam,material_type_fallen_leaf_pressed_packaging,material_type_hemp_fiber_composite,material_type_hemp_fiber_pouch,material_type_hemp_pulp_packaging,material_type_hybrid_bio_resin_packaging,material_type_mango_leaf_fiber_sheet,material_type_molded_cellulose_pulp,material_type_molded_mushroom_tray,material_type_mulberry_paper,material_type_mushroom_fiber_tray,material_type_mushroom_mycelium_mold,material_type_mycelium_packaging,material_type_natural_rubber,material_type_palm_fiber_biocomposite,material_type_palm_fiber_box,material_type_palm_leaf_plates,material_type_paper_cotton_composite,material_type_paper_kraft_bag,material_type_pineapple_leaf_fiber,material_type_pla_bioplastic_pouch,material_type_pla_coated_paperboard,material_type_pla_cup,material_type_pla_foam_tray,material_type_pla_sheet_wrap,material_type_recycled_cardboard,material_type_recycled_cardboard_box,material_type_recycled_cardboard_tube,material_type_recycled_kraft_container,material_type_recycled_kraft_paper,material_type_recycled_paper_pouch,material_type_recycled_paper_sleeve,material_type_recycled_paperboard,material_type_rice_husk_biocomposite,material_type_rice_paper_wrapper,material_type_seaweed_based_bioplastic,material_type_sorghum_fiber_packaging,material_type_starch_based_bioplastic,material_type_starch_based_wrap,material_type_sugarcane_bag,material_type_sugarcane_fiber_box,material_type_teak_leaf_packaging,material_type_thermoformed_paper_packaging,material_type_wheat_straw_fiber,material_type_wood_pulp_film,co2_impact_index,cost_efficiency_index,material_suitability_score
1,0.6,0.67,0.55,0.95,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0.785,1.014
2,0.2,1.0,0.09,0.73,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946,0.751,1.2
3,0.2,0.33,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.132,0.24,0.496
4,0.6,0.67,0.32,0.82,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676,0.694,1.178
5,0.2,0.0,0.77,0.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0.366,0.246
6,0.6,0.67,0.41,0.91,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0.757,1.203
7,1.0,0.67,0.55,0.82,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0.574,1.93
8,0.8,0.67,0.32,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676,0.76,1.004
9,0.12,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.264,0.206
10,0.4,0.67,0.36,0.55,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652,0.565,1.126
